"Common.Name","Genus","Species","Family","Fish.Code","Symbol","TNS.Field","MWT.Species.Code","MWT.Field","NBAView","AdFinPresent","ReleasedAlive","FieldRace","FinalRace"
"Shimofuri Goby","Tridentiger","bifasciatus","Gobiidae",66,"SG","SHIMGOBY",95,"SHIMGOBY",TRUE,FALSE,FALSE,FALSE,FALSE
"Bay Goby","Lepidogobius","lepidus","Gobiidae",59,"BG","BAYGOBY",74,"BAYGOBY",FALSE,FALSE,FALSE,FALSE,FALSE
"Northern Anchovy","Engraulis","mordax","Engraulidae",14,"NA","NANCHOVY",13,"NANCHOVY",FALSE,FALSE,FALSE,FALSE,FALSE
"Chinook Salmon","Oncorhynchus","tshawytscha","Salmonidae",15,"CS","CHINSALM",9,"CHINSALM",TRUE,TRUE,TRUE,TRUE,TRUE
"Steelhead","Oncorhynchus","mykiss","Salmonidae",55,"STH",NA,32,"STEELHED",TRUE,TRUE,TRUE,TRUE,TRUE
"Striped Bass Adult","Morone","saxatilis","Moronidae",NA,"SB",NA,34,"STPBASS1",FALSE,FALSE,FALSE,FALSE,FALSE
"Starry Flounder","Platichthys","stellatus","Pleuronectidae",19,"STF","STARYFLD",31,"STRFLNDR",TRUE,FALSE,FALSE,FALSE,FALSE
"Threespine Stickleback","Gasterosteus","aculeatus","Gasterosteidae",20,"STB","STICKLEB",38,"STCKL3SP",TRUE,FALSE,FALSE,FALSE,FALSE
"White Sturgeon","Acipenser","transmontanus","Acipenseridae",22,"WST","WHTSTURG",37,"WHTSTURG",TRUE,FALSE,FALSE,FALSE,FALSE
"Green Sturgeon","Acipenser","medirostrus","Acipenseridae",23,"GST","GRNSTURG",36,"GRNSTURG",TRUE,FALSE,FALSE,FALSE,FALSE
"Golden Shiner","Notemigonus","crysoleucas","Cyprinidae",25,"GSH","GOLDSHNR",65,"GOLDSHNR",TRUE,FALSE,FALSE,FALSE,FALSE
"Carp","Cyprinus","carpio","Cyprinidae",26,"CP","CARP",3,"CARP",TRUE,FALSE,FALSE,FALSE,FALSE
"Goldfish","Carassius","auratus","Cyprinidae",27,"GF","GOLDFISH",64,"GOLDFISH",TRUE,FALSE,FALSE,FALSE,FALSE
"Splittail","Pogonichthys","macrolepidotus","Cyprinidae",28,"ST","SPLITAIL",29,"SPLITAIL",TRUE,FALSE,FALSE,FALSE,FALSE
"Hardhead","Mylopharodon","conocephalus","Cyprinidae",29,"HH","HARDHEAD",NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
"Sacramento Pikeminnow","Ptychocheilus","grandis","Cyprinidae",30,"SQ","SACSQUAW",63,"SACSQUAW",TRUE,FALSE,FALSE,FALSE,FALSE
"Hitch","Lavinia","exilicauda","Cyprinidae",57,"HIT","HITCH",61,"HITCH",TRUE,FALSE,FALSE,FALSE,FALSE
"Topsmelt","Atherinops","affinis","Atherinopsidae",33,"TSM","TOPSMELT",39,"TOPSMELT",FALSE,FALSE,FALSE,FALSE,FALSE
"Jacksmelt","Atherinopsis","californiensis","Atherinopsidae",34,"JS","JACKSMLT",8,"JACKSMLT",FALSE,FALSE,FALSE,FALSE,FALSE
"Inland Silverside","Menidia","beryllina","Atherinopsidae",53,"ISS","INLDSLVR",12,"INLSLVER",TRUE,FALSE,FALSE,FALSE,FALSE
"Bay Pipefish","Syngnathus","leptorhynchus","Syngnathidae",35,"BPF","BAYPIPE",71,"BAYPIPEF",FALSE,FALSE,FALSE,FALSE,FALSE
"Redear Sunfish","Lepomis","microlophus","Centrarchidae",56,"RES",NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
"Green Sunfish","Lepomis","cyanellus","Centrarchidae",37,"GSF","GRNSUNF",53,"GRNSNFSH",TRUE,FALSE,FALSE,FALSE,FALSE
"Bluegill Sunfish","Lepomis","macrochirus","Centrarchidae",38,"BGS","BLUEGILL",52,"BLUEGILL",TRUE,FALSE,FALSE,FALSE,FALSE
"Largemouth Bass","Micropterus","salmoides","Centrarchidae",39,"LMB","LRGMBASS",55,"LMTHBASS",TRUE,FALSE,FALSE,FALSE,FALSE
"White Crappie","Pomoxis","annularis","Centrarchidae",40,"WC","WHTCRAPP",7,"WHTCRAPP",TRUE,FALSE,FALSE,FALSE,FALSE
"Black Crappie","Pomoxis","nigromaculatus","Centrarchidae",41,"BC","BLKCRAP",6,"BLKCRAPP",TRUE,FALSE,FALSE,FALSE,FALSE
"Sacramento Perch","Archoplites","interruptus","Centrarchidae",42,"SP","SACPERCH",51,"SACPERCH",TRUE,FALSE,FALSE,FALSE,FALSE
"Mosquitofish","Gambusia","affinis","Poeciliidae",31,"GAM","MOSQUITO",70,"MOSQUITO",TRUE,FALSE,FALSE,FALSE,FALSE
"Bigscale Logperch","Percina","macrolepida","Percidae",44,"BLP","LOGPERCH",72,"BSCALELG",TRUE,FALSE,FALSE,FALSE,FALSE
"Tule Perch","Hysterocarpus","traski","Embiotocidae",46,"TP","TULEPRCH",40,"TULEPRCH",TRUE,FALSE,FALSE,FALSE,FALSE
"Shiner Perch","Cymatogaster","aggregata","Embiotocidae",47,"SHP","SHNRPRCH",21,"SHNRPRCH",FALSE,FALSE,FALSE,FALSE,FALSE
"Pacific Staghorn Sculpin","Leptocottus","armatus","Cottidae",48,"SSC","STAGHORN",30,"PSTGSCLP",FALSE,FALSE,FALSE,FALSE,FALSE
"Prickly Sculpin","Cottus","asper","Cottidae",49,"PSC","PRKSCULP",73,"PRCKSCUL",TRUE,FALSE,FALSE,FALSE,FALSE
"Plainfin Midshipman","Porichthys","notatus","Batrachoididae",50,"PFM","PLNMIDSH",14,"PMIDSHIP",FALSE,FALSE,FALSE,FALSE,FALSE
"White Croaker","Genyonemus","lineatus","Sciaenidae",51,"WCR","WHTCROAK",41,"WHTCROAK",FALSE,FALSE,FALSE,FALSE,FALSE
"Pacific Lamprey","Lampetra","tridentata","Petromyzontidae",61,"PL","PACLAMP",10,"PLAMPREY",FALSE,FALSE,FALSE,FALSE,FALSE
